geo_country,geo_region,geo_city,geo_dma_bespoke_city
AUS,NSW,HAWKESBURY_HEIGHTS,SYDNEY_TV
AUS,NSW,HOLSWORTHY,SYDNEY_TV
AUS,NSW,HOMEBUSH,SYDNEY_TV
AUS,NSW,HORNSBY,SYDNEY_TV
AUS,NSW,HORSLEY_PARK,SYDNEY_TV
AUS,NSW,HUNTERS_HILL,SYDNEY_TV
AUS,NSW,HURSTVILLE,SYDNEY_TV
AUS,NSW,HURSTVILLE_GROVE,SYDNEY_TV
AUS,NSW,JANNALI,SYDNEY_TV
AUS,NSW,KELLYVILLE,SYDNEY_TV
AUS,NSW,KENSINGTON,SYDNEY_TV
AUS,NSW,KENTHURST,SYDNEY_TV
AUS,NSW,KINGSGROVE,SYDNEY_TV
AUS,NSW,KINGSWOOD,SYDNEY_TV
AUS,NSW,KIRRAWEE,SYDNEY_TV
AUS,NSW,KIRRIBILLI,SYDNEY_TV
AUS,NSW,KOGARAH,SYDNEY_TV
AUS,NSW,KURNELL,SYDNEY_TV
AUS,NSW,LA_PEROUSE,SYDNEY_TV
AUS,NSW,LAKEMBA,SYDNEY_TV
AUS,NSW,LANE_COVE,SYDNEY_TV
AUS,NSW,LEICHHARDT,SYDNEY_TV
AUS,NSW,LEUMEAH,SYDNEY_TV
AUS,NSW,LIDCOMBE,SYDNEY_TV
AUS,NSW,LILYFIELD,SYDNEY_TV
AUS,NSW,LINDFIELD,SYDNEY_TV
AUS,NSW,LITTLE_BAY,SYDNEY_TV
AUS,NSW,LIVERPOOL,SYDNEY_TV
AUS,NSW,LONG_POINT,SYDNEY_TV
AUS,NSW,LONGUEVILLE,SYDNEY_TV
AUS,NSW,LUGARNO,SYDNEY_TV
AUS,NSW,MACQUARIE_UNIVERSITY,SYDNEY_TV
AUS,NSW,MALABAR,SYDNEY_TV
AUS,NSW,MANLY,SYDNEY_TV
AUS,NSW,MANLY_VALE,SYDNEY_TV
AUS,NSW,MAROUBRA,SYDNEY_TV
AUS,NSW,MARRICKVILLE,SYDNEY_TV
AUS,NSW,MARSDEN_PARK,SYDNEY_TV
AUS,NSW,MASCOT,SYDNEY_TV
AUS,NSW,MATRAVILLE,SYDNEY_TV
AUS,NSW,MEADOWBANK,SYDNEY_TV
AUS,NSW,MENAI,SYDNEY_TV
AUS,NSW,MERRYLANDS,SYDNEY_TV
AUS,NSW,MILPERRA,SYDNEY_TV
AUS,NSW,MILSONS_POINT,SYDNEY_TV
AUS,NSW,MINTO,SYDNEY_TV
AUS,NSW,MIRANDA,SYDNEY_TV
AUS,NSW,MONA_VALE,SYDNEY_TV
AUS,NSW,MOOREBANK,SYDNEY_TV
AUS,NSW,MORTDALE,SYDNEY_TV
AUS,NSW,MORTLAKE,SYDNEY_TV
AUS,NSW,MOSMAN,SYDNEY_TV
AUS,NSW,MOUNT_DRUITT,SYDNEY_TV
AUS,NSW,MOUNT_KURING_GAI,SYDNEY_TV
AUS,NSW,NARELLAN,SYDNEY_TV
AUS,NSW,NARRABEEN,SYDNEY_TV
AUS,NSW,NEUTRAL_BAY,SYDNEY_TV
AUS,NSW,NEWINGTON,SYDNEY_TV
AUS,NSW,NEWPORT,SYDNEY_TV
AUS,NSW,NEWTOWN,SYDNEY_TV
AUS,NSW,NORMANHURST,SYDNEY_TV
AUS,NSW,NORTH_ROCKS,SYDNEY_TV
AUS,NSW,NORTH_RYDE,SYDNEY_TV
AUS,NSW,NORTH_SYDNEY,SYDNEY_TV
AUS,NSW,NORTH_TURRAMURRA,SYDNEY_TV
AUS,NSW,NORTHBRIDGE,SYDNEY_TV
AUS,NSW,NORTHMEAD,SYDNEY_TV
AUS,NSW,OATLANDS,SYDNEY_TV
AUS,NSW,OYSTER_BAY,SYDNEY_TV
AUS,NSW,PADDINGTON,SYDNEY_TV
AUS,NSW,PADSTOW,SYDNEY_TV
AUS,NSW,PAGEWOOD,SYDNEY_TV
AUS,NSW,PALM_BEACH,SYDNEY_TV
AUS,NSW,PARKLEA,SYDNEY_TV
AUS,NSW,PARRAMATTA,SYDNEY_TV
AUS,NSW,PEAKHURST,SYDNEY_TV
AUS,NSW,PENNANT_HILLS,SYDNEY_TV
AUS,NSW,PENRITH,SYDNEY_TV
AUS,NSW,PENSHURST,SYDNEY_TV
AUS,NSW,PETERSHAM,SYDNEY_TV
AUS,NSW,PORT_HACKING,SYDNEY_TV
AUS,NSW,POTTS_POINT,SYDNEY_TV
AUS,NSW,PYMBLE,SYDNEY_TV
AUS,NSW,PYRMONT,SYDNEY_TV
AUS,NSW,QUAKERS_HILL,SYDNEY_TV
AUS,NSW,RAMSGATE,SYDNEY_TV
AUS,NSW,RANDWICK,SYDNEY_TV
AUS,NSW,REDFERN,SYDNEY_TV
AUS,NSW,REGENTS_PARK,SYDNEY_TV
AUS,NSW,REVESBY,SYDNEY_TV
AUS,NSW,RHODES,SYDNEY_TV
AUS,NSW,RICHMOND,SYDNEY_TV
AUS,NSW,RIVERSTONE,SYDNEY_TV
AUS,NSW,RIVERWOOD,SYDNEY_TV
AUS,NSW,ROCKDALE,SYDNEY_TV
AUS,NSW,ROOTY_HILL,SYDNEY_TV
AUS,NSW,ROSE_BAY,SYDNEY_TV
AUS,NSW,ROSEBERY,SYDNEY_TV
AUS,NSW,ROSEHILL,SYDNEY_TV
AUS,NSW,ROSELANDS,SYDNEY_TV
AUS,NSW,ROSEVILLE,SYDNEY_TV
AUS,NSW,ROZELLE,SYDNEY_TV
AUS,NSW,RYDALMERE,SYDNEY_TV
AUS,NSW,RYDE,SYDNEY_TV
AUS,NSW,SANS_SOUCI,SYDNEY_TV
AUS,NSW,SCHOFIELDS,SYDNEY_TV
AUS,NSW,SEAFORTH,SYDNEY_TV
AUS,NSW,SEVEN_HILLS,SYDNEY_TV
AUS,NSW,SILVERWATER,SYDNEY_TV
AUS,NSW,SMITHFIELD,SYDNEY_TV
AUS,NSW,SOUTH_WEST_ROCKS,SYDNEY_TV
AUS,NSW,ST_IVES,SYDNEY_TV
AUS,NSW,ST_LEONARDS,SYDNEY_TV
AUS,NSW,ST_MARYS,SYDNEY_TV
AUS,NSW,ST_PETERS,SYDNEY_TV
AUS,NSW,STANMORE,SYDNEY_TV
AUS,NSW,STRATHFIELD,SYDNEY_TV
AUS,NSW,SUMMER_HILL,SYDNEY_TV
AUS,NSW,SURRY_HILLS,SYDNEY_TV
AUS,NSW,SUTHERLAND,SYDNEY_TV
AUS,NSW,SYLVANIA,SYDNEY_TV
AUS,NSW,SYLVANIA_WATERS,SYDNEY_TV
AUS,NSW,TAREN_POINT,SYDNEY_TV
AUS,NSW,TEMPE,SYDNEY_TV
AUS,NSW,TERREY_HILLS,SYDNEY_TV
AUS,NSW,THE_PONDS,SYDNEY_TV
AUS,NSW,THE_ROCKS,SYDNEY_TV
AUS,NSW,THE_UNIVERSITY_OF_SYDNEY,SYDNEY_TV
AUS,NSW,THORNLEIGH,SYDNEY_TV
AUS,NSW,TOONGABBIE,SYDNEY_TV
AUS,NSW,TURRAMURRA,SYDNEY_TV
AUS,NSW,ULTIMO,SYDNEY_TV
AUS,NSW,UNIVERSITY OF NEW SOUTH WALES,SYDNEY_TV
AUS,NSW,UNIVERSITY_OF_NEW_SOUTH_WALES,SYDNEY_TV
AUS,NSW,VAUCLUSE,SYDNEY_TV
AUS,NSW,VILLAWOOD,SYDNEY_TV
AUS,NSW,WAHROONGA,SYDNEY_TV
AUS,NSW,WARNERS_BAY,SYDNEY_TV
AUS,NSW,WARRAWEE,SYDNEY_TV
AUS,NSW,WARRIEWOOD,SYDNEY_TV
AUS,NSW,WATERLOO,SYDNEY_TV
AUS,NSW,WAVERLEY,SYDNEY_TV
AUS,NSW,WAVERTON,SYDNEY_TV
AUS,NSW,WENTWORTHVILLE,SYDNEY_TV
AUS,NSW,WEST_HOXTON,SYDNEY_TV
AUS,NSW,WESTMEAD,SYDNEY_TV
AUS,NSW,WHALAN,SYDNEY_TV
AUS,NSW,WHALE_BEACH,SYDNEY_TV
AUS,NSW,WINDSOR,SYDNEY_TV
AUS,NSW,WISEMANS_FERRY,SYDNEY_TV
AUS,NSW,WOOLLAHRA,SYDNEY_TV
AUS,NSW,WOOLWICH,SYDNEY_TV
AUS,NSW,WORLD_SQUARE,SYDNEY_TV
AUS,NSW,YAGOONA,SYDNEY_TV
AUS,NSW,YARRAMALONG,SYDNEY_TV
AUS,NSW,ZETLAND,SYDNEY_TV
AUS,NSW,TUGGERAH,SYDNEY_TV
AUS,NSW,GOSFORD,SYDNEY_TV
AUS,NSW,BOOKER_BAY,SYDNEY_TV
AUS,NSW,WOLLONGONG,SYDNEY_TV
AUS,NSW,QUEANBEYAN,SYDNEY_TV
AUS,NSW,BERRY,SYDNEY_TV
AUS,NSW,SINGLETON,SYDNEY_TV
AUS,NSW,BATEAU_BAY,SYDNEY_TV
AUS,NSW,TERRIGAL,SYDNEY_TV
AUS,NSW,BELMONT,SYDNEY_TV
AUS,NSW,NEWCASTLE,SYDNEY_TV
AUS,NSW,INGLEBURN,SYDNEY_TV
AUS,NSW,WOY_WOY,SYDNEY_TV
AUS,NSW,THE_ENTRANCE,SYDNEY_TV
AUS,NSW,CARDIFF,SYDNEY_TV
AUS,NSW,SPRINGWOOD,SYDNEY_TV
AUS,NSW,KINCUMBER,SYDNEY_TV
AUS,NSW,HAY,SYDNEY_TV
AUS,NSW,NARARA,SYDNEY_TV
AUS,NSW,COFFS_HARBOUR,SYDNEY_TV
AUS,NSW,LONG_JETTY,SYDNEY_TV
