adju_geo_region_name,geo_dma_bespoke,adju_geo_city
VALENCIA,VALENCIA,TOUS
ALAVA,PAIS_VASCO,BERANTEVILLA
ZARAGOZA,ARAGON,GALLUR
ZAMORA,CASTILLA_Y_LEON,CORRALES_DEL_VINO
GIRONA,CATALUNA_,TORRENT
ALICANTE,VALENCIA,XIXONA
ALMERIA,ANDALUCIA,ALARA
AVILA,CASTILLA_Y_LEON,PEDRO_RODRIGUEZ
BARCELONA,CATALUNA_,MONTCADA_I_REIXAC
CIUDAD_REAL,CASTILLA_LA_MANCHA,GRANATULA_DE_CALATRAVA
GUADALAJARA,CASTILLA_LA_MANCHA,CIUDAD_RESIDENCIAL_EL_CLAVIN
GUADALAJARA,CASTILLA_LA_MANCHA,CORTES_DE_TAJUNA
HUELVA,ANDALUCIA,EL_REPILADO
HUESCA,ARAGON,MONZON
LEON,CASTILLA_Y_LEON,QUINTANILLA_DE_FLOREZ
MURCIA,MURCIA,MARCHENA
ASTURIAS,ASTURIAS,LASTRES
PALENCIA,CASTILLA_Y_LEON,GRIJOTA
CANTABRIA,CANTABRIA,ARENAS
CANTABRIA,CANTABRIA,MOGRO
SEGOVIA,CASTILLA_Y_LEON,FRUMALES
TERUEL,ARAGON,EL_POBO
VALENCIA,VALENCIA,VENTAS_DE_POYO
HUESCA,ARAGON,RODELLAR
LEON,CASTILLA_Y_LEON,LAGO_DE_CARUCEDO
ASTURIAS,ASTURIAS,NOVELLANA
ALICANTE,VALENCIA,IBI
ALBACETE,CASTILLA_LA_MANCHA,CANADA_DE_AGRA
AVILA,CASTILLA_Y_LEON,GAVILANES
BARCELONA,CATALUNA_,SANT_QUINTI_DE_MEDIONA
LA_CORUNA,GALICIA,ARCA
CACERES,EXTREMADURA,PLASENCIA
LAS_PALMAS,CANARIAS,SAN_BARTOLOME_DE_TIRAJANA
GUADALAJARA,CASTILLA_LA_MANCHA,SACEDON
HUELVA,ANDALUCIA,SOTIEL_CORONADA
JAEN,ANDALUCIA,GENAVE
LEON,CASTILLA_Y_LEON,LAGUNA_DE_NEGRILLOS
MADRID,MADRID,ALGETE
ASTURIAS,ASTURIAS,BATIAO
ORENSE,GALICIA,CERNADO
ISLAS_BALEARES,ISLAS_BALEARES,EL_TORO
ISLAS_BALEARES,ISLAS_BALEARES,PORT_DANDRATX
SALAMANCA,CASTILLA_Y_LEON,AHIGAL_DE_VILLARINO
